episode,steps,total_reward,goal_reached,final_node,dist_to_goal,guided_steps,time_sec
1,700,-579.3328551633922,0,4202268808,1819.8578440377305,72,22.93402689998038
2,700,-507.16973497690384,0,6724683433,2796.354654153038,74,23.186054400051944
3,700,-668.2767648112736,0,366409422,1864.0931023126068,71,13.61567740002647
4,700,-505.60347438215547,0,5772563010,2207.4510613083394,75,17.702872599940747
